pH,HCO3,source
9.2,19.67391987,van Geest (Netherlands)
9.2,21.98838965,van Geest (Netherlands)
8.4,17.10663161,van Geest (Netherlands)
8.18,7.974751455,van Geest (Netherlands)
3.3,1.127316827,van Geest (Netherlands)
6.7,20.15844974,van Geest (Netherlands)
7.03,7.486035076,van Geest (Netherlands)
6.4,24.09098347,van Geest (Netherlands)
7.7,4.813985972,van Geest (Netherlands)
8,112.8862821,van Geest (Netherlands)
4.3,182.8685414,van Geest (Netherlands)
7.7,211.8631672,van Geest (Netherlands)
7.8,202.1388551,van Geest (Netherlands)
9.9,20.56952427,van Geest (Netherlands)
8.06,185.8069022,van Geest (Netherlands)
8.6,157.1498193,van Geest (Netherlands)
7.76,238.9694322,van Geest (Netherlands)
7.6,170.62352,van Geest (Netherlands)
8.5,156.548423,van Geest (Netherlands)
7.4,210.8537728,van Geest (Netherlands)
7.9,108.3682372,van Geest (Netherlands)
8.6,128.937551,van Geest (Netherlands)
7.25,29.22212444,van Geest (Netherlands)
7.4,155.6669113,van Geest (Netherlands)
7.35,168.288584,van Geest (Netherlands)
7.58,150.9053324,van Geest (Netherlands)
8.1,163.8021472,van Geest (Netherlands)
8.9,164.8417659,van Geest (Netherlands)
8.6,95.34438043,van Geest (Netherlands)
8.2,149.2864421,van Geest (Netherlands)
8.3,247.8819191,van Geest (Netherlands)
8,223.312516,van Geest (Netherlands)
8.6,191.911921,van Geest (Netherlands)
7.7,171.906055,van Geest (Netherlands)
8.6,252.7990226,van Geest (Netherlands)
8.5,93.88542953,van Geest (Netherlands)
8.2,62.73017848,van Geest (Netherlands)
8.5,206.1180741,van Geest (Netherlands)
8.6,71.80441173,van Geest (Netherlands)
9.04,108.0579819,van Geest (Netherlands)
9.26,73.16269669,van Geest (Netherlands)
8.8,157.6229971,van Geest (Netherlands)
9.4,54.86613071,van Geest (Netherlands)
8.2,154.7983462,van Geest (Netherlands)
8.6,131.6121892,van Geest (Netherlands)
8,333.4014929,van Geest (Netherlands)
8.3,90.01007901,van Geest (Netherlands)
8.3,160.8615987,van Geest (Netherlands)
9.2,84.3806708,van Geest (Netherlands)
8.9,113.7310657,van Geest (Netherlands)
7.5,66.14840408,van Geest (Netherlands)
7.8,162.4141254,van Geest (Netherlands)
7.8,157.6096547,van Geest (Netherlands)
7.9,157.9131003,van Geest (Netherlands)
8,293.8189623,van Geest (Netherlands)
8.2,247.0681634,van Geest (Netherlands)
8,257.4076747,van Geest (Netherlands)
7.9,150.9929594,van Geest (Netherlands)
7.7,215.8335211,van Geest (Netherlands)
8.4,200.3244483,van Geest (Netherlands)
9,159.0386354,van Geest (Netherlands)
7.3,22.04715566,van Geest (Netherlands)
7.4,91.38370422,van Geest (Netherlands)
6,0.299763251,van Geest (Netherlands)
5.6,0.685096712,van Geest (Netherlands)
7,5.248186266,van Geest (Netherlands)
7.5,86.4070344,van Geest (Netherlands)
6.3,0.54460499,van Geest (Netherlands)
6.8,5.69686657,van Geest (Netherlands)
5.7,0.037173271,van Geest (Netherlands)
5.9,0.037126179,van Geest (Netherlands)
5.2,0.020611616,van Geest (Netherlands)
6.8,29.23296753,van Geest (Netherlands)
8.75,68.49570067,van Geest (Netherlands)
