RS,RP
-1.426763841,-0.421746805
-0.814365245,0.184506175
-0.713419814,0.179145576
0.211169915,0.682607419
0.292584651,0.577431548
0.499314768,0.577214295
0.215369725,0.480304155
-0.117299427,0.16801008
-0.522202153,-0.183616952
-0.556092724,-0.26239907
-0.657180254,-0.304328962
-0.442026835,-0.701270995
-0.240325438,-0.775046182
-0.060088859,0.007687231
-0.132456636,-0.076308967
-0.185577916,-0.155070876
0.035196302,-0.281411262
0.217572257,-0.386693234
0.166306157,0.151948491
0.310615414,0.178069414
0.301197419,0.243760756
0.950004895,0.166888446
1.132278223,0.027452231
